PNG,Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,DRAJ2000,DDECJ2000,PNstat,Catalogue,MajDiam,MinDiam,mainClass,subClass,SDSS_objID,SDSS_RA,SDSS_DEC,mode,SDSS_type,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,flags_u,flags_g,flags_r,flags_i,flags_z,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,sdistancerank,HASHSDSSdist,r_SDSS_diff
050.7+01.0,Pa~J1921.0+1619,19,21,5.6,+,16,19,39.9,290.27333,16.32775,P,DSHPNe,5.0,5.0,,,1237666211401500893,290.27264,16.32792,1,6,24.563,22.741,20.298,19.011,18.177,1.029,0.24,0.136,0.097,0.085,24.695,23.322,20.374,19.087,18.253,3.002,0.701,0.295,0.204,0.183,9007199397515537,70369012645905,4503599895838736,268468240,268599312,24.616,22.787,20.302,18.997,18.173,0.892,0.173,0.028,0.016,0.026,0,2.454,-0.004
050.8+00.0,050.8+00.0,19,24,51.84,+,15,57,28.4,291.216,15.95789,P,CornishCandidates,-999.0,-999.0,,,1237666229117520366,291.21559,15.95901,1,6,23.629,23.722,21.571,20.335,19.4,0.729,0.403,0.075,0.046,0.075,23.927,24.023,21.721,20.454,19.619,1.376,0.795,0.162,0.084,0.143,9007199254741009,8388881,4503874773843984,275146375184,275146375184,23.686,23.753,21.578,20.34,19.406,0.759,0.351,0.075,0.042,0.068,0,4.292,-0.007
053.9-33.2,Fr~2-21,21,26,21.2,,0,58,34.39,321.58825,0.97622,P,DFrew,540.0,540.0,,,1237663458852143207,321.5882,0.97615,1,6,13.549,13.931,14.493,14.855,15.178,0.022,0.002,0.011,0.013,0.017,13.596,13.986,14.542,14.908,15.246,0.002,0.002,0.002,0.003,0.005,268468240,578879678153396240,4503874773745680,275146375184,268468240,13.549,14.297,14.489,14.852,15.175,0.004,0.002,0.004,0.004,0.005,0,0.294,0.004
058.8-16.9,Kn~121,20,42,1.9,,13,51,15.0,310.50792,13.85417,T,PRC15,360.0,330.0,E,a;s;,1237666243598549358,310.50808,13.85416,1,6,14.903,15.318,15.853,16.213,16.448,0.012,0.022,0.022,0.005,0.014,14.928,15.343,15.865,16.235,16.525,0.003,0.002,0.002,0.003,0.009,17867349327872,268603392,4503599895838720,158329942999040,268468224,14.872,15.295,15.819,16.187,16.46,0.004,0.003,0.004,0.004,0.008,0,0.577,0.035
061.9+41.3,DdDm~1,16,40,18.2,,38,42,19.91,250.07565,38.70553,T,1992secg.book.....A,1.4,1.4,S,,1237655374111178874,250.07563,38.70556,1,6,14.269,13.728,13.916,15.044,15.004,0.01,0.017,0.011,0.015,0.016,14.229,13.721,13.843,14.975,14.989,0.002,0.001,0.001,0.001,0.004,268468240,268599312,4503599895969808,268468240,402821136,14.19,13.686,13.811,14.939,14.923,0.003,0.003,0.003,0.003,0.005,0,0.12,0.105
069.4-03.8,StDr~11,20,20,50.3,+,29,49,51.1,305.20958,29.83086,T,FrenchAmateurs,84.0,-999.0,R,a;s;,1237672003692793849,305.2107,29.83176,1,6,23.034,22.296,20.976,19.983,19.489,1.019,0.115,0.053,0.037,0.077,21.71,23.348,21.14,19.959,19.333,0.397,0.655,0.139,0.104,0.165,11399736699523345,275179896848,4503874807267344,2410404668112912,2252074993582096,22.926,22.264,20.91,19.89,19.375,0.647,0.122,0.055,0.033,0.076,0,4.761,0.066
070.2-08.7,Kn~21,20,41,18.0,,27,35,6.0,310.32501,27.585,T,2010PASA...27..156J,29.0,25.0,E,,1237674895273362696,310.32522,27.58502,1,6,18.659,18.878,19.14,19.418,19.678,0.027,0.009,0.014,0.018,0.091,18.703,18.911,19.249,19.542,19.991,0.025,0.011,0.019,0.038,0.257,302023184,301989904,4503599929360400,275179896848,275179896848,18.67,18.874,19.147,19.42,19.723,0.021,0.009,0.013,0.019,0.092,0,0.665,-0.007
070.5+11.0,Kn~61,19,21,38.94,,38,18,57.2,290.41225,38.31589,T,2012IAUS..283..414K,100.0,92.0,R,r;s;,1237668681001862361,290.41223,38.3159,1,6,17.661,18.048,18.47,18.776,19.009,0.018,0.006,0.012,0.015,0.045,17.677,18.078,18.522,18.854,19.239,0.011,0.006,0.011,0.024,0.126,158329942999056,268468240,4503599895805968,268468240,275146342416,17.649,18.034,18.472,18.77,19.022,0.011,0.006,0.008,0.014,0.047,0,0.063,-0.002
078.9+00.7,Sd~1,20,29,18.9,,40,15,20.59,307.32889,40.25572,T,1992secg.book.....A,13.0,12.0,E,a;m;r;s;,1237663151221964911,307.32826,40.25621,1,6,22.838,20.566,21.005,22.203,20.267,0.445,0.08,0.191,0.349,0.221,23.074,20.641,21.071,22.299,20.246,1.207,0.166,0.443,0.872,0.462,33718289,275179929616,4573968673570833,70369054588945,70369046200337,22.825,20.503,20.941,22.111,20.172,0.401,0.035,0.069,0.206,0.138,1,2.483,0.064
078.9+00.7,Sd~1,20,29,18.9,,40,15,20.59,307.32889,40.25572,T,1992secg.book.....A,13.0,12.0,E,a;m;r;s;,1237663151221964909,307.32742,40.25606,1,3,21.459,20.541,19.027,20.741,19.556,0.146,0.164,0.077,0.124,0.124,21.398,20.483,18.675,20.496,19.234,0.302,0.38,0.147,0.276,0.241,275180060688,70369046200337,4503874807267344,70643924107281,70643924107281,21.168,20.22,18.554,20.267,19.079,0.116,0.031,0.011,0.051,0.067,2,4.235,0.474
